       CODIGO ;       DESCRIPCION ;            MARCA ;   CONTENIDO ;    UNIDADES POR CAJA ;  PRECIO POR CAJA;STOCK CAJA ;             AROMAS
775876001595;TRAPERO HUMEDO 10 UNIDADES;           TOLL ;;24; $23.760 ;204;LAVANDA , FLORAL
659525894252;TRAPERO HUMEDO 12 UNIDADES;         WINNEX  ;;12; $17.880 ;312;LAVANDA, FLORAL ,MANZANA,LIMON,MARINE
;TRAPERO HUMEDO CLASICO 10 UNIDADES ;            EXCELL ;;10; $1.430 ;1000;
;TRAPERO HUMEDO PISO FLOTANTE 10 UNIDADES ;            EXCELL ;;10; $1.430 ;1000;
;TRAPERO HUMEDO  HABRILLANTADOR MAS LIMPIADOR  10 UNIDADES;          EXCELL ;;10; $1.950 ;1000;
;TRAPERO HUMEDO ABRILLANTADOR  10 UNIDADES;         EXCELL ;;10; $3.180 ;1000;
7804673120033;TRAPERO HUMEDO 12MAS1 UNIDADES;   ULTRA CLEAN ;13 UNIDADES;12; $18.000 ;45;
;PASTAL DENTAL TRIPLE ACCION ;COLGATE ;   75ML ;1; $990 ;1000;
;PASTA DENTAL TRIPLE ACCION ;PEPSODENT ;;1; $720 ;1000;
;PASTAS DENTAL  INTEGRAL 18 ;PEPSODENT ;;1; $950 ;1000;
;PASTA DENTAL PACK 3;PEPSIODENT;90 GRS ;1; $2.290 ;1000;
;PASTA DENTAL  REGULAR PACK 3 ;FRESH  UP ;90 GRS ;1; $1.970 ;1000;
;PASTA DETAL WHITENING PACK 3;FRESH UP ;90 GRS ;1; $1.770 ;1000;
;CEPILLO DE DIENTES MEDIUM ;AQUAFRESH ;;1; $1.290 ;1000;
;CEPILLO DE DIENTES ADULTO SUAVE ;FRESH UP ;;1; $640 ;1000;
;CEPILLO DE DIENTES ADULTO MEDIO ;FRESH UP ;;1; $640 ;1000;
;CEPILLO DE DIENTE NIÑO ;FRESH UP ;;1; $640 ;1000;
;CEPILLO DE DIENTE NIÑO  PACK X2;FAMILY SET ;;1; $860 ;1000;
7758676002011;TOALLA HUMEDA 80 UNDS PACK 2;OVELLA ;;12; $27.480 ;17;
7758676002011;TOALLA HUMEDA 80 UNIDADES ;OVELLA ;;24; $28.560 ;3;
;TOALLA HUMEDAD 45 UNIDADES ;BABYSEC ;;1; $690 ;1000;
659525893941;TOALLA HUMEDA 80 UNIDADES ;SOFT WIPES ;;12; $10.680 ;238;
;TOALLA HUMEDA  72 UNIDADES;SOFT CLOUD;;1; $700 ;1000;
;TOALLA HUMEDA ADULTO ;ACTIVITY ;;1; $1.300 ;1000;
;TOALLA PAPEL LIKE ULTRA;TERSUS;70MTRS;6; $10.500 ;16;
6904542076483;DETERGENTE EN POLVO ;WINNEX;800GRAMOS;12;;312;
;;;;;;;
12523258974;REMOVEDOR DE MANCHAS POLVO;WINNEX;500 GRAMOS;12; $37.800 ;28;
7808304316031;RENOVADOR DE NEUMATICO ;TEDDY;500 ML;12; $18.600 ;1;
7808304390741;PACK PROMOCIONAL [RENOVADOR+CERA];TEDDY;500 ML;6; $16.560 ;2;
7805020003047;JAVON LIQUIDO;VIDABELL;750 ML;12; $14.400 ;7;
7791290796027;DETERGENTE POLVO OMO CON VICARBONATO ;OMO;800 ML;18; $30.420 ;9;
7791290791466;OMO PARA DILUIR PIEL SENSIBLE ;OMO;5OO ML;12; $44.280 ;27;
7791274000645;AROMATIZANTE DE TELAS VAIS ;ALGABO;500 ML;8; $25.920 ;7;
6976617700234;REPUESTO AROMATIZANTE ULTRA CLEAN ;ULTRA CLEAN ;40 ML;24; $38.140 ;7;
6976617700142;GEL AROMATIZANTE ULTRA CLEAN;ULTRA CLEAN ;212 GRAMOS;24; $28.320 ;19;
7805020003320;QUITAMANCHAS 2EN 1;EXCELL;960 ML;12; $20.760 ;41;
12345678288;DESODORANTE DE INODORO ;ULTRA CLEAN ;40 GRAMOS;24; $12.240 ;5;
27896015500133;CEPILLO AQUAFRESH PACK X2;AQUAFRESH;;12; $15.480 ;5;
7804920001580;DETERGENTE LIQUIDO FUZOL;FUZOL;3 LITROS;4; $21.960 ;2;
7730219040513;APOSITO COTIDIAN ;COTIDIAN;;12; $44.400 ;1;
7805020001760;LIMPIADOE PORCELANATO Y VINILICOS;EXCELL;900 ML;12; $18.360 ;4;
7805020002019;CERA AUTOBRILLO [ceramicos y baldosas ];EXCELL;900 ml;12; $27.120 ;6;
7805020010007;LIMPIADOR DE PISO FLOTANTE ;EXCELL;900 ML;12; $27.360 ;4;
7805020001784;CERA PINTURA ROJA;EXCELL;900 CC;12; $23.040 ;6;
7805020003016;LUSTRA MUEBLES LIQUIDO GATILLO;EXCELL;500 ML;12; $18.600 ;4;
7805020000930;ANTIGRASA GATILLO;EXCELL;500 ML;12; $17.520 ;10;
7805020002860;LIMPIADOR DE BAÑO GATILLO;EXCELL;500 ML;12; $20.640 ;2;
8794652126592;FILMS PLASTICO TRANSPARENTE;HOME KING;70 METROS;48; $57.120 ;1;
7805020010045;SHAMPOO ALFOMBRA Y TAPICES;EXCELL;900 CC;12; $23.880 ;6;
7805020002033;LUSTRA MUEBLES ;EXCELL;500 CC;15; $29.850 ;6;
7804673120064;TELA  ANTIBACTERIAL ;ULTRA CLEAN ;30 UNIDADES;24; $30.960 ;7;
7805020000718;ABRILLANTADOR PISO FLOTANTE;EXCELL;900 CC;12; $34.800 ;2;
7791274192883;ESPUMA DE AFEITAR;ALGABO;400 GRAMOS;12; $25.080 ;7;
